# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-6.300000       0.027141       0.003596 
-6.280000       0.017779       0.002497 
-6.260000       -0.004817       0.001999 
-6.240000       -0.019830       0.002519 
-6.220000       -0.013200       0.003864 
-6.200000       0.009293       0.005306 
-6.180000       0.027122       0.005998 
-6.160000       0.023820       0.005501 
-6.140000       0.002261       0.004095 
-6.120000       -0.017753       0.002658 
-6.100000       -0.017592       0.002158 
-6.080000       0.002948       0.003046 
-6.060000       0.025223       0.004935 
-6.040000       0.028740       0.006775 
-6.020000       0.010097       0.007470 
-6.000000       -0.013646       0.006561 
-5.980000       -0.020480       0.004571 
-5.960000       -0.003746       0.002746 
-5.940000       0.021496       0.002323 
-5.920000       0.032109       0.003750 
-5.900000       0.018181       0.006342 
-5.880000       -0.007619       0.008631 
-5.860000       -0.021454       0.009231 
-5.840000       -0.010228       0.007722 
-5.820000       0.016143       0.004982 
-5.800000       0.033585       0.002734 
-5.780000       0.025948       0.002516 
-5.760000       0.000073       0.004704 
-5.740000       -0.020211       0.008183 
-5.720000       -0.015902       0.010949 
-5.700000       0.009513       0.011304 
-5.680000       0.032951       0.008949 
-5.660000       0.032821       0.005273 
-5.640000       0.009035       0.002595 
-5.620000       -0.016582       0.002773 
-5.600000       -0.020174       0.006001 
-5.580000       0.002086       0.010568 
-5.560000       0.030136       0.013804 
-5.540000       0.038244       0.013693 
-5.520000       0.018749       0.010189 
-5.500000       -0.010554       0.005375 
-5.480000       -0.022494       0.002306 
-5.460000       -0.005546       0.003149 
-5.440000       0.025234       0.007762 
-5.420000       0.041730       0.013626 
-5.400000       0.028603       0.017271 
-5.380000       -0.002283       0.016388 
-5.360000       -0.022399       0.011362 
-5.340000       -0.012713       0.005209 
-5.320000       0.018509       0.001852 
-5.300000       0.042897       0.003724 
-5.280000       0.037926       0.010133 
-5.260000       0.007904       0.017501 
-5.240000       -0.019552       0.021416 
-5.220000       -0.018707       0.019347 
-5.200000       0.010393       0.012361 
-5.180000       0.041501       0.004677 
-5.160000       0.046029       0.001227 
-5.140000       0.019520       0.004606 
-5.120000       -0.013768       0.013293 
-5.100000       -0.022825       0.022347 
-5.080000       0.001470       0.026287 
-5.060000       0.037469       0.022497 
-5.040000       0.052245       0.013042 
-5.020000       0.031930       0.003671 
-5.000000       -0.005046       0.000439 
-4.980000       -0.024412       0.005937 
-4.960000       -0.007549       0.017446 
-4.940000       0.030909       0.028322 
-4.920000       0.055978       0.031910 
-4.900000       0.044385       0.025716 
-4.880000       0.006420       0.013219 
-4.860000       -0.022909       0.002061 
